"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Adams County, CO"	"08001"	"2001"	"2001"	"15-24 years"	"15-24"	48	55682	86.2
	"Adams County, CO"	"08001"	"2001"	"2001"	"25-34 years"	"25-34"	72	63641	113.1
	"Adams County, CO"	"08001"	"2001"	"2001"	"35-44 years"	"35-44"	131	62519	209.5
	"Adams County, CO"	"08001"	"2001"	"2001"	"45-54 years"	"45-54"	186	47796	389.2
	"Adams County, CO"	"08001"	"2001"	"2001"	"55-64 years"	"55-64"	242	26958	897.7
	"Adams County, CO"	"08001"	"2001"	"2001"	"65-74 years"	"65-74"	435	17746	2451.3
	"Adams County, CO"	"08001"	"2001"	"2001"	"75-84 years"	"75-84"	545	9289	5867.2
	"Adams County, CO"	"08001"	"2001"	"2001"	"85+ years"	"85+"	424	2685	15791.4
	"Adams County, CO"	"08001"	"2002"	"2002"	"< 1 year"	"1"	50	6639	753.1
	"Adams County, CO"	"08001"	"2002"	"2002"	"5-14 years"	"5-14"	15	59691	Unreliable
	"Adams County, CO"	"08001"	"2002"	"2002"	"15-24 years"	"15-24"	61	57324	106.4
	"Adams County, CO"	"08001"	"2002"	"2002"	"25-34 years"	"25-34"	66	66153	99.8
	"Adams County, CO"	"08001"	"2002"	"2002"	"35-44 years"	"35-44"	138	63227	218.3
	"Adams County, CO"	"08001"	"2002"	"2002"	"45-54 years"	"45-54"	222	49259	450.7
	"Adams County, CO"	"08001"	"2002"	"2002"	"55-64 years"	"55-64"	258	28775	896.6
	"Adams County, CO"	"08001"	"2002"	"2002"	"65-74 years"	"65-74"	469	17919	2617.3
	"Adams County, CO"	"08001"	"2002"	"2002"	"75-84 years"	"75-84"	602	9638	6246.1
	"Adams County, CO"	"08001"	"2002"	"2002"	"85+ years"	"85+"	462	2769	16684.7
	"Adams County, CO"	"08001"	"2003"	"2003"	"< 1 year"	"1"	42	6974	602.2
	"Adams County, CO"	"08001"	"2003"	"2003"	"1-4 years"	"1-4"	23	25746	89.3
	"Adams County, CO"	"08001"	"2003"	"2003"	"5-14 years"	"5-14"	15	57383	Unreliable
	"Adams County, CO"	"08001"	"2003"	"2003"	"15-24 years"	"15-24"	56	55408	101.1
	"Adams County, CO"	"08001"	"2003"	"2003"	"25-34 years"	"25-34"	56	65071	86.1
	"Adams County, CO"	"08001"	"2003"	"2003"	"35-44 years"	"35-44"	117	59845	195.5
	"Adams County, CO"	"08001"	"2003"	"2003"	"45-54 years"	"45-54"	198	48260	410.3
	"Adams County, CO"	"08001"	"2003"	"2003"	"55-64 years"	"55-64"	257	29127	882.3
	"Adams County, CO"	"08001"	"2003"	"2003"	"65-74 years"	"65-74"	416	17475	2380.5
	"Adams County, CO"	"08001"	"2003"	"2003"	"75-84 years"	"75-84"	572	9433	6063.8
	"Adams County, CO"	"08001"	"2003"	"2003"	"85+ years"	"85+"	452	2742	16484.3
	"Adams County, CO"	"08001"	"2004"	"2004"	"< 1 year"	"1"	53	7238	732.2
	"Adams County, CO"	"08001"	"2004"	"2004"	"15-24 years"	"15-24"	38	55770	68.1
	"Adams County, CO"	"08001"	"2004"	"2004"	"25-34 years"	"25-34"	59	66219	89.1
	"Adams County, CO"	"08001"	"2004"	"2004"	"35-44 years"	"35-44"	126	60149	209.5
	"Adams County, CO"	"08001"	"2004"	"2004"	"45-54 years"	"45-54"	189	49630	380.8
	"Adams County, CO"	"08001"	"2004"	"2004"	"55-64 years"	"55-64"	300	30624	979.6
	"Adams County, CO"	"08001"	"2004"	"2004"	"65-74 years"	"65-74"	387	17713	2184.8
	"Adams County, CO"	"08001"	"2004"	"2004"	"75-84 years"	"75-84"	540	9784	5519.2
	"Adams County, CO"	"08001"	"2004"	"2004"	"85+ years"	"85+"	420	2800	15000.0
	"Adams County, CO"	"08001"	"2005"	"2005"	"< 1 year"	"1"	56	7528	743.9
	"Adams County, CO"	"08001"	"2005"	"2005"	"1-4 years"	"1-4"	12	28025	Unreliable
	"Adams County, CO"	"08001"	"2005"	"2005"	"15-24 years"	"15-24"	59	56483	104.5
	"Adams County, CO"	"08001"	"2005"	"2005"	"25-34 years"	"25-34"	61	67111	90.9
	"Adams County, CO"	"08001"	"2005"	"2005"	"35-44 years"	"35-44"	97	61088	158.8
	"Adams County, CO"	"08001"	"2005"	"2005"	"45-54 years"	"45-54"	233	51668	451.0
	"Adams County, CO"	"08001"	"2005"	"2005"	"55-64 years"	"55-64"	297	32465	914.8
	"Adams County, CO"	"08001"	"2005"	"2005"	"65-74 years"	"65-74"	423	18009	2348.8
	"Adams County, CO"	"08001"	"2005"	"2005"	"75-84 years"	"75-84"	553	10011	5523.9
	"Adams County, CO"	"08001"	"2005"	"2005"	"85+ years"	"85+"	449	2947	15235.8
	"Adams County, CO"	"08001"	"2006"	"2006"	"< 1 year"	"1"	43	7682	559.8
	"Adams County, CO"	"08001"	"2006"	"2006"	"15-24 years"	"15-24"	49	56970	86.0
	"Adams County, CO"	"08001"	"2006"	"2006"	"25-34 years"	"25-34"	57	68473	83.2
	"Adams County, CO"	"08001"	"2006"	"2006"	"35-44 years"	"35-44"	111	62392	177.9
	"Adams County, CO"	"08001"	"2006"	"2006"	"45-54 years"	"45-54"	216	53411	404.4
	"Adams County, CO"	"08001"	"2006"	"2006"	"55-64 years"	"55-64"	280	34341	815.4
	"Adams County, CO"	"08001"	"2006"	"2006"	"65-74 years"	"65-74"	393	18754	2095.6
	"Adams County, CO"	"08001"	"2006"	"2006"	"75-84 years"	"75-84"	582	10439	5575.2
	"Adams County, CO"	"08001"	"2006"	"2006"	"85+ years"	"85+"	450	3126	14395.4
	"Adams County, CO"	"08001"	"2007"	"2007"	"< 1 year"	"1"	48	7784	616.6
	"Adams County, CO"	"08001"	"2007"	"2007"	"15-24 years"	"15-24"	28	57525	48.7
	"Adams County, CO"	"08001"	"2007"	"2007"	"25-34 years"	"25-34"	52	69347	75.0
	"Adams County, CO"	"08001"	"2007"	"2007"	"35-44 years"	"35-44"	102	63120	161.6
	"Adams County, CO"	"08001"	"2007"	"2007"	"45-54 years"	"45-54"	236	55037	428.8
	"Adams County, CO"	"08001"	"2007"	"2007"	"55-64 years"	"55-64"	303	36352	833.5
	"Adams County, CO"	"08001"	"2007"	"2007"	"65-74 years"	"65-74"	417	19261	2165.0
	"Adams County, CO"	"08001"	"2007"	"2007"	"75-84 years"	"75-84"	549	10714	5124.1
	"Adams County, CO"	"08001"	"2007"	"2007"	"85+ years"	"85+"	519	3375	15377.8
	"Adams County, CO"	"08001"	"2008"	"2008"	"< 1 year"	"1"	51	7863	648.6
	"Adams County, CO"	"08001"	"2008"	"2008"	"15-24 years"	"15-24"	43	58380	73.7
	"Adams County, CO"	"08001"	"2008"	"2008"	"25-34 years"	"25-34"	65	70273	92.5
	"Adams County, CO"	"08001"	"2008"	"2008"	"35-44 years"	"35-44"	105	63586	165.1
	"Adams County, CO"	"08001"	"2008"	"2008"	"45-54 years"	"45-54"	226	56602	399.3
	"Adams County, CO"	"08001"	"2008"	"2008"	"55-64 years"	"55-64"	357	38289	932.4
	"Adams County, CO"	"08001"	"2008"	"2008"	"65-74 years"	"65-74"	440	20029	2196.8
	"Adams County, CO"	"08001"	"2008"	"2008"	"75-84 years"	"75-84"	592	11052	5356.5
	"Adams County, CO"	"08001"	"2008"	"2008"	"85+ years"	"85+"	524	3551	14756.4
	"Adams County, CO"	"08001"	"2009"	"2009"	"< 1 year"	"1"	57	7615	748.5
	"Adams County, CO"	"08001"	"2009"	"2009"	"15-24 years"	"15-24"	39	59539	65.5
	"Adams County, CO"	"08001"	"2009"	"2009"	"25-34 years"	"25-34"	67	71386	93.9
	"Adams County, CO"	"08001"	"2009"	"2009"	"35-44 years"	"35-44"	104	64326	161.7
	"Adams County, CO"	"08001"	"2009"	"2009"	"45-54 years"	"45-54"	239	57865	413.0
	"Adams County, CO"	"08001"	"2009"	"2009"	"55-64 years"	"55-64"	340	40309	843.5
	"Adams County, CO"	"08001"	"2009"	"2009"	"65-74 years"	"65-74"	406	20883	1944.2
	"Adams County, CO"	"08001"	"2009"	"2009"	"75-84 years"	"75-84"	560	11314	4949.6
	"Adams County, CO"	"08001"	"2009"	"2009"	"85+ years"	"85+"	522	3735	13975.9
	"Adams County, CO"	"08001"	"2010"	"2010"	"< 1 year"	"1"	34	7356	462.2
	"Adams County, CO"	"08001"	"2010"	"2010"	"15-24 years"	"15-24"	36	59789	60.2
	"Adams County, CO"	"08001"	"2010"	"2010"	"25-34 years"	"25-34"	49	71750	68.3
	"Adams County, CO"	"08001"	"2010"	"2010"	"35-44 years"	"35-44"	67	65222	102.7
	"Adams County, CO"	"08001"	"2010"	"2010"	"45-54 years"	"45-54"	235	58429	402.2
	"Adams County, CO"	"08001"	"2010"	"2010"	"55-64 years"	"55-64"	362	41940	863.1
	"Adams County, CO"	"08001"	"2010"	"2010"	"65-74 years"	"65-74"	401	21357	1877.6
	"Adams County, CO"	"08001"	"2010"	"2010"	"75-84 years"	"75-84"	607	11626	5221.1
	"Adams County, CO"	"08001"	"2010"	"2010"	"85+ years"	"85+"	532	3879	13714.9
	"Adams County, CO"	"08001"	"2011"	"2011"	"< 1 year"	"1"	36	6994	514.7
	"Adams County, CO"	"08001"	"2011"	"2011"	"15-24 years"	"15-24"	34	60285	56.4
	"Adams County, CO"	"08001"	"2011"	"2011"	"25-34 years"	"25-34"	79	73032	108.2
	"Adams County, CO"	"08001"	"2011"	"2011"	"35-44 years"	"35-44"	104	66314	156.8
	"Adams County, CO"	"08001"	"2011"	"2011"	"45-54 years"	"45-54"	248	59066	419.9
	"Adams County, CO"	"08001"	"2011"	"2011"	"55-64 years"	"55-64"	382	44484	858.7
	"Adams County, CO"	"08001"	"2011"	"2011"	"65-74 years"	"65-74"	448	22247	2013.8
	"Adams County, CO"	"08001"	"2011"	"2011"	"75-84 years"	"75-84"	616	11993	5136.3
	"Adams County, CO"	"08001"	"2011"	"2011"	"85+ years"	"85+"	600	4250	14117.6
	"Adams County, CO"	"08001"	"2012"	"2012"	"< 1 year"	"1"	29	6929	418.5
	"Adams County, CO"	"08001"	"2012"	"2012"	"1-4 years"	"1-4"	11	29998	Unreliable
	"Adams County, CO"	"08001"	"2012"	"2012"	"15-24 years"	"15-24"	50	61080	81.9
	"Adams County, CO"	"08001"	"2012"	"2012"	"25-34 years"	"25-34"	72	73740	97.6
	"Adams County, CO"	"08001"	"2012"	"2012"	"35-44 years"	"35-44"	132	67482	195.6
	"Adams County, CO"	"08001"	"2012"	"2012"	"45-54 years"	"45-54"	221	59344	372.4
	"Adams County, CO"	"08001"	"2012"	"2012"	"55-64 years"	"55-64"	392	45956	853.0
	"Adams County, CO"	"08001"	"2012"	"2012"	"65-74 years"	"65-74"	499	24391	2045.8
	"Adams County, CO"	"08001"	"2012"	"2012"	"75-84 years"	"75-84"	659	12479	5280.9
	"Adams County, CO"	"08001"	"2012"	"2012"	"85+ years"	"85+"	652	4473	14576.3
	"Adams County, CO"	"08001"	"2013"	"2013"	"< 1 year"	"1"	40	6947	575.8
	"Adams County, CO"	"08001"	"2013"	"2013"	"1-4 years"	"1-4"	10	29855	Unreliable
	"Adams County, CO"	"08001"	"2013"	"2013"	"15-24 years"	"15-24"	44	62051	70.9
	"Adams County, CO"	"08001"	"2013"	"2013"	"25-34 years"	"25-34"	69	75305	91.6
	"Adams County, CO"	"08001"	"2013"	"2013"	"35-44 years"	"35-44"	123	68664	179.1
	"Adams County, CO"	"08001"	"2013"	"2013"	"45-54 years"	"45-54"	221	60083	367.8
	"Adams County, CO"	"08001"	"2013"	"2013"	"55-64 years"	"55-64"	428	47680	897.7
	"Adams County, CO"	"08001"	"2013"	"2013"	"65-74 years"	"65-74"	464	26350	1760.9
	"Adams County, CO"	"08001"	"2013"	"2013"	"75-84 years"	"75-84"	629	12736	4938.8
	"Adams County, CO"	"08001"	"2013"	"2013"	"85+ years"	"85+"	662	4633	14288.8
	"Adams County, CO"	"08001"	"2014"	"2014"	"< 1 year"	"1"	37	6873	538.3
	"Adams County, CO"	"08001"	"2014"	"2014"	"15-24 years"	"15-24"	40	63686	62.8
	"Adams County, CO"	"08001"	"2014"	"2014"	"25-34 years"	"25-34"	86	77288	111.3
	"Adams County, CO"	"08001"	"2014"	"2014"	"35-44 years"	"35-44"	109	69947	155.8
	"Adams County, CO"	"08001"	"2014"	"2014"	"45-54 years"	"45-54"	254	61389	413.8
	"Adams County, CO"	"08001"	"2014"	"2014"	"55-64 years"	"55-64"	413	49529	833.9
	"Adams County, CO"	"08001"	"2014"	"2014"	"65-74 years"	"65-74"	553	28153	1964.3
	"Adams County, CO"	"08001"	"2014"	"2014"	"75-84 years"	"75-84"	620	13066	4745.1
	"Adams County, CO"	"08001"	"2014"	"2014"	"85+ years"	"85+"	659	4779	13789.5
	"Adams County, CO"	"08001"	"2015"	"2015"	"< 1 year"	"1"	39	6980	558.7
	"Adams County, CO"	"08001"	"2015"	"2015"	"5-14 years"	"5-14"	11	77553	Unreliable
	"Adams County, CO"	"08001"	"2015"	"2015"	"15-24 years"	"15-24"	40	64959	61.6
	"Adams County, CO"	"08001"	"2015"	"2015"	"25-34 years"	"25-34"	87	79030	110.1
	"Adams County, CO"	"08001"	"2015"	"2015"	"35-44 years"	"35-44"	112	71393	156.9
	"Adams County, CO"	"08001"	"2015"	"2015"	"45-54 years"	"45-54"	218	62518	348.7
	"Adams County, CO"	"08001"	"2015"	"2015"	"55-64 years"	"55-64"	404	51387	786.2
	"Adams County, CO"	"08001"	"2015"	"2015"	"65-74 years"	"65-74"	564	29633	1903.3
	"Adams County, CO"	"08001"	"2015"	"2015"	"75-84 years"	"75-84"	675	13354	5054.7
	"Adams County, CO"	"08001"	"2015"	"2015"	"85+ years"	"85+"	662	5000	13240.0
	"Adams County, CO"	"08001"	"2016"	"2016"	"< 1 year"	"1"	39	7168	544.1
	"Adams County, CO"	"08001"	"2016"	"2016"	"15-24 years"	"15-24"	71	66181	107.3
	"Adams County, CO"	"08001"	"2016"	"2016"	"25-34 years"	"25-34"	94	79918	117.6
	"Adams County, CO"	"08001"	"2016"	"2016"	"35-44 years"	"35-44"	136	71924	189.1
	"Adams County, CO"	"08001"	"2016"	"2016"	"45-54 years"	"45-54"	229	63163	362.6
	"Adams County, CO"	"08001"	"2016"	"2016"	"55-64 years"	"55-64"	399	52957	753.4
	"Adams County, CO"	"08001"	"2016"	"2016"	"65-74 years"	"65-74"	564	30992	1819.8
	"Adams County, CO"	"08001"	"2016"	"2016"	"75-84 years"	"75-84"	743	13770	5395.8
	"Adams County, CO"	"08001"	"2016"	"2016"	"85+ years"	"85+"	703	5123	13722.4
	"Adams County, CO"	"08001"	"2017"	"2017"	"< 1 year"	"1"	33	6948	475.0
	"Adams County, CO"	"08001"	"2017"	"2017"	"15-24 years"	"15-24"	63	65349	96.4
	"Adams County, CO"	"08001"	"2017"	"2017"	"25-34 years"	"25-34"	106	82126	129.1
	"Adams County, CO"	"08001"	"2017"	"2017"	"35-44 years"	"35-44"	121	73872	163.8
	"Adams County, CO"	"08001"	"2017"	"2017"	"45-54 years"	"45-54"	231	63379	364.5
	"Adams County, CO"	"08001"	"2017"	"2017"	"55-64 years"	"55-64"	415	54299	764.3
	"Adams County, CO"	"08001"	"2017"	"2017"	"65-74 years"	"65-74"	575	31839	1806.0
	"Adams County, CO"	"08001"	"2017"	"2017"	"75-84 years"	"75-84"	626	13773	4545.1
	"Adams County, CO"	"08001"	"2017"	"2017"	"85+ years"	"85+"	697	5219	13355.0
	"Alamosa County, CO"	"08003"	"1999"	"1999"	"45-54 years"	"45-54"	10	1911	Unreliable
	"Alamosa County, CO"	"08003"	"1999"	"1999"	"65-74 years"	"65-74"	13	750	Unreliable
	"Alamosa County, CO"	"08003"	"1999"	"1999"	"75-84 years"	"75-84"	34	464	7327.6
	"Alamosa County, CO"	"08003"	"1999"	"1999"	"85+ years"	"85+"	28	197	14213.2
	"Alamosa County, CO"	"08003"	"2000"	"2000"	"65-74 years"	"65-74"	14	765	Unreliable
	"Alamosa County, CO"	"08003"	"2000"	"2000"	"75-84 years"	"75-84"	25	470	5319.1
	"Alamosa County, CO"	"08003"	"2000"	"2000"	"85+ years"	"85+"	34	205	16585.4
	"Alamosa County, CO"	"08003"	"2001"	"2001"	"65-74 years"	"65-74"	18	768	Unreliable
	"Alamosa County, CO"	"08003"	"2001"	"2001"	"75-84 years"	"75-84"	24	477	5031.4
	"Alamosa County, CO"	"08003"	"2001"	"2001"	"85+ years"	"85+"	50	200	25000.0
	"Alamosa County, CO"	"08003"	"2002"	"2002"	"55-64 years"	"55-64"	18	1180	Unreliable
	"Alamosa County, CO"	"08003"	"2002"	"2002"	"65-74 years"	"65-74"	19	790	Unreliable
	"Alamosa County, CO"	"08003"	"2002"	"2002"	"75-84 years"	"75-84"	26	470	5531.9
	"Alamosa County, CO"	"08003"	"2002"	"2002"	"85+ years"	"85+"	38	200	19000.0
	"Alamosa County, CO"	"08003"	"2003"	"2003"	"45-54 years"	"45-54"	10	2105	Unreliable
	"Alamosa County, CO"	"08003"	"2003"	"2003"	"55-64 years"	"55-64"	12	1222	Unreliable
	"Alamosa County, CO"	"08003"	"2003"	"2003"	"65-74 years"	"65-74"	23	811	2836.0
	"Alamosa County, CO"	"08003"	"2003"	"2003"	"75-84 years"	"75-84"	28	454	6167.4
	"Alamosa County, CO"	"08003"	"2003"	"2003"	"85+ years"	"85+"	37	187	19786.1
	"Alamosa County, CO"	"08003"	"2004"	"2004"	"45-54 years"	"45-54"	10	2108	Unreliable
	"Alamosa County, CO"	"08003"	"2004"	"2004"	"55-64 years"	"55-64"	10	1291	Unreliable
	"Alamosa County, CO"	"08003"	"2004"	"2004"	"65-74 years"	"65-74"	24	855	2807.0
	"Alamosa County, CO"	"08003"	"2004"	"2004"	"75-84 years"	"75-84"	14	472	Unreliable
	"Alamosa County, CO"	"08003"	"2004"	"2004"	"85+ years"	"85+"	15	201	Unreliable
	"Alamosa County, CO"	"08003"	"2005"	"2005"	"45-54 years"	"45-54"	11	2103	Unreliable
	"Alamosa County, CO"	"08003"	"2005"	"2005"	"55-64 years"	"55-64"	16	1432	Unreliable
	"Alamosa County, CO"	"08003"	"2005"	"2005"	"65-74 years"	"65-74"	16	875	Unreliable
	"Alamosa County, CO"	"08003"	"2005"	"2005"	"75-84 years"	"75-84"	27	460	5869.6
	"Alamosa County, CO"	"08003"	"2005"	"2005"	"85+ years"	"85+"	33	210	15714.3
	"Alamosa County, CO"	"08003"	"2006"	"2006"	"45-54 years"	"45-54"	17	2099	Unreliable
	"Alamosa County, CO"	"08003"	"2006"	"2006"	"55-64 years"	"55-64"	14	1509	Unreliable
	"Alamosa County, CO"	"08003"	"2006"	"2006"	"65-74 years"	"65-74"	12	920	Unreliable
	"Alamosa County, CO"	"08003"	"2006"	"2006"	"75-84 years"	"75-84"	21	462	4545.5
	"Alamosa County, CO"	"08003"	"2006"	"2006"	"85+ years"	"85+"	29	213	13615.0
	"Alamosa County, CO"	"08003"	"2007"	"2007"	"45-54 years"	"45-54"	15	2077	Unreliable
	"Alamosa County, CO"	"08003"	"2007"	"2007"	"55-64 years"	"55-64"	11	1584	Unreliable
	"Alamosa County, CO"	"08003"	"2007"	"2007"	"65-74 years"	"65-74"	18	936	Unreliable
	"Alamosa County, CO"	"08003"	"2007"	"2007"	"75-84 years"	"75-84"	30	501	5988.0
	"Alamosa County, CO"	"08003"	"2007"	"2007"	"85+ years"	"85+"	27	207	13043.5
	"Alamosa County, CO"	"08003"	"2008"	"2008"	"45-54 years"	"45-54"	10	2049	Unreliable
	"Alamosa County, CO"	"08003"	"2008"	"2008"	"65-74 years"	"65-74"	21	956	2196.7
	"Alamosa County, CO"	"08003"	"2008"	"2008"	"75-84 years"	"75-84"	22	512	4296.9
	"Alamosa County, CO"	"08003"	"2008"	"2008"	"85+ years"	"85+"	32	221	14479.6
	"Alamosa County, CO"	"08003"	"2009"	"2009"	"45-54 years"	"45-54"	14	2066	Unreliable
	"Alamosa County, CO"	"08003"	"2009"	"2009"	"55-64 years"	"55-64"	14	1804	Unreliable
	"Alamosa County, CO"	"08003"	"2009"	"2009"	"65-74 years"	"65-74"	12	986	Unreliable
	"Alamosa County, CO"	"08003"	"2009"	"2009"	"75-84 years"	"75-84"	32	544	5882.4
	"Alamosa County, CO"	"08003"	"2009"	"2009"	"85+ years"	"85+"	25	222	11261.3
	"Alamosa County, CO"	"08003"	"2010"	"2010"	"45-54 years"	"45-54"	12	2141	Unreliable
	"Alamosa County, CO"	"08003"	"2010"	"2010"	"55-64 years"	"55-64"	10	1873	Unreliable
	"Alamosa County, CO"	"08003"	"2010"	"2010"	"65-74 years"	"65-74"	25	1004	2490.0
	"Alamosa County, CO"	"08003"	"2010"	"2010"	"75-84 years"	"75-84"	28	534	5243.4
	"Alamosa County, CO"	"08003"	"2010"	"2010"	"85+ years"	"85+"	44	214	20560.7
	"Alamosa County, CO"	"08003"	"2011"	"2011"	"55-64 years"	"55-64"	15	1880	Unreliable
	"Alamosa County, CO"	"08003"	"2011"	"2011"	"65-74 years"	"65-74"	21	1053	1994.3
	"Alamosa County, CO"	"08003"	"2011"	"2011"	"75-84 years"	"75-84"	25	530	4717.0
	"Alamosa County, CO"	"08003"	"2011"	"2011"	"85+ years"	"85+"	36	229	15720.5
	"Alamosa County, CO"	"08003"	"2012"	"2012"	"45-54 years"	"45-54"	11	2002	Unreliable
	"Alamosa County, CO"	"08003"	"2012"	"2012"	"55-64 years"	"55-64"	17	1930	Unreliable
	"Alamosa County, CO"	"08003"	"2012"	"2012"	"65-74 years"	"65-74"	22	1134	1940.0
	"Alamosa County, CO"	"08003"	"2012"	"2012"	"75-84 years"	"75-84"	25	540	4629.6
	"Alamosa County, CO"	"08003"	"2012"	"2012"	"85+ years"	"85+"	41	244	16803.3
	"Alamosa County, CO"	"08003"	"2013"	"2013"	"45-54 years"	"45-54"	10	1823	Unreliable
	"Alamosa County, CO"	"08003"	"2013"	"2013"	"55-64 years"	"55-64"	24	1902	1261.8
	"Alamosa County, CO"	"08003"	"2013"	"2013"	"65-74 years"	"65-74"	23	1173	1960.8
	"Alamosa County, CO"	"08003"	"2013"	"2013"	"75-84 years"	"75-84"	27	547	4936.0
	"Alamosa County, CO"	"08003"	"2013"	"2013"	"85+ years"	"85+"	47	247	19028.3
	"Alamosa County, CO"	"08003"	"2014"	"2014"	"55-64 years"	"55-64"	15	1879	Unreliable
	"Alamosa County, CO"	"08003"	"2014"	"2014"	"65-74 years"	"65-74"	21	1202	1747.1
	"Alamosa County, CO"	"08003"	"2014"	"2014"	"75-84 years"	"75-84"	29	584	4965.8
	"Alamosa County, CO"	"08003"	"2014"	"2014"	"85+ years"	"85+"	33	257	12840.5
	"Alamosa County, CO"	"08003"	"2015"	"2015"	"55-64 years"	"55-64"	23	1854	1240.6
	"Alamosa County, CO"	"08003"	"2015"	"2015"	"65-74 years"	"65-74"	24	1240	1935.5
	"Alamosa County, CO"	"08003"	"2015"	"2015"	"75-84 years"	"75-84"	27	625	4320.0
	"Alamosa County, CO"	"08003"	"2015"	"2015"	"85+ years"	"85+"	41	253	16205.5
	"Alamosa County, CO"	"08003"	"2016"	"2016"	"45-54 years"	"45-54"	15	1617	Unreliable
	"Alamosa County, CO"	"08003"	"2016"	"2016"	"55-64 years"	"55-64"	29	1862	1557.5
	"Alamosa County, CO"	"08003"	"2016"	"2016"	"65-74 years"	"65-74"	22	1322	1664.1
	"Alamosa County, CO"	"08003"	"2016"	"2016"	"75-84 years"	"75-84"	24	642	3738.3
	"Alamosa County, CO"	"08003"	"2016"	"2016"	"85+ years"	"85+"	52	249	20883.5
	"Alamosa County, CO"	"08003"	"2017"	"2017"	"55-64 years"	"55-64"	13	1849	Unreliable
	"Alamosa County, CO"	"08003"	"2017"	"2017"	"65-74 years"	"65-74"	21	1333	1575.4
	"Alamosa County, CO"	"08003"	"2017"	"2017"	"75-84 years"	"75-84"	41	602	6810.6
	"Alamosa County, CO"	"08003"	"2017"	"2017"	"85+ years"	"85+"	42	239	17573.2
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	"< 1 year"	"1"	47	6621	709.9
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	"5-14 years"	"5-14"	11	73636	Unreliable
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	"15-24 years"	"15-24"	42	62648	67.0
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	"25-34 years"	"25-34"	69	74963	92.0
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	"35-44 years"	"35-44"	120	87200	137.6
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	"45-54 years"	"45-54"	188	72369	259.8
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	"55-64 years"	"55-64"	264	36830	716.8
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	"65-74 years"	"65-74"	444	22674	1958.2
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	"75-84 years"	"75-84"	711	14116	5036.8
	"Arapahoe County, CO"	"08005"	"1999"	"1999"	"85+ years"	"85+"	679	4606	14741.6
	"Arapahoe County, CO"	"08005"	"2000"	"2000"	"< 1 year"	"1"	52	6667	780.0
