"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Etowah County, AL"	"01055"	"Jun., 2010"	"2010/06"	12	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Jul., 2010"	"2010/07"	12	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Sep., 2010"	"2010/09"	13	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Oct., 2010"	"2010/10"	15	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Nov., 2010"	"2010/11"	13	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"Dec., 2010"	"2010/12"	15	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"Feb., 2010"	"2010/02"	12	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"Jul., 2010"	"2010/07"	11	Not Applicable	Not Applicable
	"Jackson County, AL"	"01071"	"Apr., 2010"	"2010/04"	11	Not Applicable	Not Applicable
	"Jackson County, AL"	"01071"	"Dec., 2010"	"2010/12"	13	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jan., 2010"	"2010/01"	71	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Feb., 2010"	"2010/02"	56	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Mar., 2010"	"2010/03"	50	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Apr., 2010"	"2010/04"	54	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"May, 2010"	"2010/05"	44	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jun., 2010"	"2010/06"	46	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jul., 2010"	"2010/07"	54	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Aug., 2010"	"2010/08"	40	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Sep., 2010"	"2010/09"	51	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Oct., 2010"	"2010/10"	47	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Nov., 2010"	"2010/11"	40	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Dec., 2010"	"2010/12"	67	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Feb., 2010"	"2010/02"	12	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Mar., 2010"	"2010/03"	10	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Sep., 2010"	"2010/09"	13	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Oct., 2010"	"2010/10"	14	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"Dec., 2010"	"2010/12"	12	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	"Mar., 2010"	"2010/03"	11	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Jan., 2010"	"2010/01"	22	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Feb., 2010"	"2010/02"	21	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Mar., 2010"	"2010/03"	30	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Apr., 2010"	"2010/04"	20	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"May, 2010"	"2010/05"	25	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Jun., 2010"	"2010/06"	14	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Jul., 2010"	"2010/07"	16	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Aug., 2010"	"2010/08"	19	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Sep., 2010"	"2010/09"	15	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Oct., 2010"	"2010/10"	22	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Nov., 2010"	"2010/11"	19	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Dec., 2010"	"2010/12"	25	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Jan., 2010"	"2010/01"	13	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Feb., 2010"	"2010/02"	11	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Mar., 2010"	"2010/03"	13	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Apr., 2010"	"2010/04"	19	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"May, 2010"	"2010/05"	10	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Aug., 2010"	"2010/08"	17	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Oct., 2010"	"2010/10"	15	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Nov., 2010"	"2010/11"	11	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"Dec., 2010"	"2010/12"	16	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Jan., 2010"	"2010/01"	47	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Feb., 2010"	"2010/02"	38	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Mar., 2010"	"2010/03"	42	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Apr., 2010"	"2010/04"	27	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"May, 2010"	"2010/05"	18	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Jun., 2010"	"2010/06"	31	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Jul., 2010"	"2010/07"	19	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Aug., 2010"	"2010/08"	22	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Sep., 2010"	"2010/09"	22	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Oct., 2010"	"2010/10"	24	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Nov., 2010"	"2010/11"	30	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Dec., 2010"	"2010/12"	26	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Jan., 2010"	"2010/01"	11	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Mar., 2010"	"2010/03"	19	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Apr., 2010"	"2010/04"	11	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"May, 2010"	"2010/05"	10	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Jun., 2010"	"2010/06"	23	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Jul., 2010"	"2010/07"	11	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Sep., 2010"	"2010/09"	13	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Oct., 2010"	"2010/10"	13	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Nov., 2010"	"2010/11"	17	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"Dec., 2010"	"2010/12"	16	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Jan., 2010"	"2010/01"	14	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Feb., 2010"	"2010/02"	14	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Mar., 2010"	"2010/03"	14	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Apr., 2010"	"2010/04"	10	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Sep., 2010"	"2010/09"	16	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Oct., 2010"	"2010/10"	17	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"Dec., 2010"	"2010/12"	16	Not Applicable	Not Applicable
	"Russell County, AL"	"01113"	"Jan., 2010"	"2010/01"	10	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Jan., 2010"	"2010/01"	14	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Apr., 2010"	"2010/04"	12	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Nov., 2010"	"2010/11"	10	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Jan., 2010"	"2010/01"	11	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Feb., 2010"	"2010/02"	11	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Mar., 2010"	"2010/03"	10	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Apr., 2010"	"2010/04"	11	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Jun., 2010"	"2010/06"	10	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Oct., 2010"	"2010/10"	10	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Nov., 2010"	"2010/11"	12	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"Dec., 2010"	"2010/12"	10	Not Applicable	Not Applicable
	"Tallapoosa County, AL"	"01123"	"Jan., 2010"	"2010/01"	10	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Jan., 2010"	"2010/01"	14	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Feb., 2010"	"2010/02"	26	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Mar., 2010"	"2010/03"	13	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Apr., 2010"	"2010/04"	15	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"May, 2010"	"2010/05"	18	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Jun., 2010"	"2010/06"	16	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Aug., 2010"	"2010/08"	17	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Sep., 2010"	"2010/09"	10	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Oct., 2010"	"2010/10"	14	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Nov., 2010"	"2010/11"	11	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"Dec., 2010"	"2010/12"	18	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Jan., 2010"	"2010/01"	13	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Feb., 2010"	"2010/02"	13	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Mar., 2010"	"2010/03"	11	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Apr., 2010"	"2010/04"	13	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"May, 2010"	"2010/05"	12	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Jun., 2010"	"2010/06"	12	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Aug., 2010"	"2010/08"	11	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"Sep., 2010"	"2010/09"	13	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"Jan., 2010"	"2010/01"	10	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"Apr., 2010"	"2010/04"	15	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"May, 2010"	"2010/05"	14	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"Oct., 2010"	"2010/10"	12	Not Applicable	Not Applicable
	"Cochise County, AZ"	"04003"	"Jan., 2010"	"2010/01"	19	Not Applicable	Not Applicable
	"Cochise County, AZ"	"04003"	"Mar., 2010"	"2010/03"	15	Not Applicable	Not Applicable
	"Cochise County, AZ"	"04003"	"Apr., 2010"	"2010/04"	12	Not Applicable	Not Applicable
	"Gila County, AZ"	"04007"	"Feb., 2010"	"2010/02"	11	Not Applicable	Not Applicable
	"Gila County, AZ"	"04007"	"Mar., 2010"	"2010/03"	14	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 2010"	"2010/01"	213	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 2010"	"2010/02"	169	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 2010"	"2010/03"	232	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Apr., 2010"	"2010/04"	185	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"May, 2010"	"2010/05"	185	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jun., 2010"	"2010/06"	176	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jul., 2010"	"2010/07"	163	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Aug., 2010"	"2010/08"	145	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Sep., 2010"	"2010/09"	156	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Oct., 2010"	"2010/10"	175	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Nov., 2010"	"2010/11"	169	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Dec., 2010"	"2010/12"	194	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Jan., 2010"	"2010/01"	29	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Feb., 2010"	"2010/02"	30	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Mar., 2010"	"2010/03"	32	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Apr., 2010"	"2010/04"	21	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"May, 2010"	"2010/05"	25	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Jun., 2010"	"2010/06"	23	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Jul., 2010"	"2010/07"	24	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Aug., 2010"	"2010/08"	19	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Sep., 2010"	"2010/09"	18	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Oct., 2010"	"2010/10"	22	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Nov., 2010"	"2010/11"	22	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"Dec., 2010"	"2010/12"	22	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Jan., 2010"	"2010/01"	94	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Feb., 2010"	"2010/02"	71	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Mar., 2010"	"2010/03"	100	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Apr., 2010"	"2010/04"	78	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"May, 2010"	"2010/05"	69	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Jun., 2010"	"2010/06"	58	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Jul., 2010"	"2010/07"	62	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Aug., 2010"	"2010/08"	65	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Sep., 2010"	"2010/09"	58	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Oct., 2010"	"2010/10"	51	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Nov., 2010"	"2010/11"	80	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"Dec., 2010"	"2010/12"	108	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Jan., 2010"	"2010/01"	23	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Feb., 2010"	"2010/02"	24	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Mar., 2010"	"2010/03"	29	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Apr., 2010"	"2010/04"	21	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"May, 2010"	"2010/05"	13	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Jun., 2010"	"2010/06"	11	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Jul., 2010"	"2010/07"	12	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Aug., 2010"	"2010/08"	13	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Sep., 2010"	"2010/09"	13	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Oct., 2010"	"2010/10"	20	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Nov., 2010"	"2010/11"	21	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"Dec., 2010"	"2010/12"	29	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Jan., 2010"	"2010/01"	17	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Feb., 2010"	"2010/02"	20	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Mar., 2010"	"2010/03"	34	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Apr., 2010"	"2010/04"	34	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"May, 2010"	"2010/05"	17	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Jun., 2010"	"2010/06"	23	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Jul., 2010"	"2010/07"	13	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Aug., 2010"	"2010/08"	17	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Sep., 2010"	"2010/09"	21	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Oct., 2010"	"2010/10"	22	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Nov., 2010"	"2010/11"	29	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"Dec., 2010"	"2010/12"	25	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"Jan., 2010"	"2010/01"	19	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"Feb., 2010"	"2010/02"	19	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"Mar., 2010"	"2010/03"	18	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"Apr., 2010"	"2010/04"	16	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"May, 2010"	"2010/05"	14	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"Jun., 2010"	"2010/06"	13	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"Jul., 2010"	"2010/07"	10	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"Sep., 2010"	"2010/09"	13	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"Oct., 2010"	"2010/10"	13	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"Nov., 2010"	"2010/11"	15	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"Dec., 2010"	"2010/12"	23	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"May, 2010"	"2010/05"	10	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	"Sep., 2010"	"2010/09"	10	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	"Jan., 2010"	"2010/01"	16	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	"Feb., 2010"	"2010/02"	14	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	"Mar., 2010"	"2010/03"	14	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	"May, 2010"	"2010/05"	12	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	"Jul., 2010"	"2010/07"	11	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	"Nov., 2010"	"2010/11"	14	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	"Dec., 2010"	"2010/12"	16	Not Applicable	Not Applicable
	"Craighead County, AR"	"05031"	"Feb., 2010"	"2010/02"	16	Not Applicable	Not Applicable
	"Craighead County, AR"	"05031"	"Dec., 2010"	"2010/12"	11	Not Applicable	Not Applicable
	"Faulkner County, AR"	"05045"	"Jan., 2010"	"2010/01"	10	Not Applicable	Not Applicable
	"Faulkner County, AR"	"05045"	"Mar., 2010"	"2010/03"	12	Not Applicable	Not Applicable
	"Faulkner County, AR"	"05045"	"May, 2010"	"2010/05"	10	Not Applicable	Not Applicable
	"Faulkner County, AR"	"05045"	"Oct., 2010"	"2010/10"	10	Not Applicable	Not Applicable
	"Faulkner County, AR"	"05045"	"Dec., 2010"	"2010/12"	10	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"Jan., 2010"	"2010/01"	18	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"Feb., 2010"	"2010/02"	11	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"Mar., 2010"	"2010/03"	12	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"Apr., 2010"	"2010/04"	17	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"May, 2010"	"2010/05"	15	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"Jun., 2010"	"2010/06"	10	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"Jul., 2010"	"2010/07"	12	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"Sep., 2010"	"2010/09"	12	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"Nov., 2010"	"2010/11"	17	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"Dec., 2010"	"2010/12"	10	Not Applicable	Not Applicable
	"Greene County, AR"	"05055"	"Dec., 2010"	"2010/12"	10	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Jan., 2010"	"2010/01"	28	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Feb., 2010"	"2010/02"	20	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Mar., 2010"	"2010/03"	25	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Apr., 2010"	"2010/04"	19	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"May, 2010"	"2010/05"	25	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Jun., 2010"	"2010/06"	21	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Jul., 2010"	"2010/07"	16	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Aug., 2010"	"2010/08"	13	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Sep., 2010"	"2010/09"	14	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Oct., 2010"	"2010/10"	22	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Nov., 2010"	"2010/11"	18	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"Dec., 2010"	"2010/12"	22	Not Applicable	Not Applicable
	"Saline County, AR"	"05125"	"Jan., 2010"	"2010/01"	10	Not Applicable	Not Applicable
	"Saline County, AR"	"05125"	"Mar., 2010"	"2010/03"	14	Not Applicable	Not Applicable
	"Saline County, AR"	"05125"	"May, 2010"	"2010/05"	12	Not Applicable	Not Applicable
	"Saline County, AR"	"05125"	"Jun., 2010"	"2010/06"	10	Not Applicable	Not Applicable
	"Saline County, AR"	"05125"	"Dec., 2010"	"2010/12"	17	Not Applicable	Not Applicable
	"Sebastian County, AR"	"05131"	"Feb., 2010"	"2010/02"	13	Not Applicable	Not Applicable
	"Sebastian County, AR"	"05131"	"Mar., 2010"	"2010/03"	12	Not Applicable	Not Applicable
	"Sebastian County, AR"	"05131"	"Apr., 2010"	"2010/04"	10	Not Applicable	Not Applicable
