"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Mohave County, AZ"	"04015"	"Sep., 2000"	"2000/09"	14	Not Applicable	Not Applicable	0.0%
	"Mohave County, AZ"	"04015"	"Oct., 2000"	"2000/10"	21	Not Applicable	Not Applicable	0.0%
	"Mohave County, AZ"	"04015"	"Nov., 2000"	"2000/11"	23	Not Applicable	Not Applicable	0.0%
	"Mohave County, AZ"	"04015"	"Dec., 2000"	"2000/12"	22	Not Applicable	Not Applicable	0.0%
	"Pima County, AZ"	"04019"	"Jan., 2000"	"2000/01"	123	Not Applicable	Not Applicable	0.1%
	"Pima County, AZ"	"04019"	"Feb., 2000"	"2000/02"	79	Not Applicable	Not Applicable	0.0%
	"Pima County, AZ"	"04019"	"Mar., 2000"	"2000/03"	76	Not Applicable	Not Applicable	0.0%
	"Pima County, AZ"	"04019"	"Apr., 2000"	"2000/04"	54	Not Applicable	Not Applicable	0.0%
	"Pima County, AZ"	"04019"	"May, 2000"	"2000/05"	58	Not Applicable	Not Applicable	0.0%
	"Pima County, AZ"	"04019"	"Jun., 2000"	"2000/06"	62	Not Applicable	Not Applicable	0.0%
	"Pima County, AZ"	"04019"	"Jul., 2000"	"2000/07"	50	Not Applicable	Not Applicable	0.0%
	"Pima County, AZ"	"04019"	"Aug., 2000"	"2000/08"	45	Not Applicable	Not Applicable	0.0%
	"Pima County, AZ"	"04019"	"Sep., 2000"	"2000/09"	62	Not Applicable	Not Applicable	0.0%
	"Pima County, AZ"	"04019"	"Oct., 2000"	"2000/10"	69	Not Applicable	Not Applicable	0.0%
	"Pima County, AZ"	"04019"	"Nov., 2000"	"2000/11"	58	Not Applicable	Not Applicable	0.0%
	"Pima County, AZ"	"04019"	"Dec., 2000"	"2000/12"	78	Not Applicable	Not Applicable	0.0%
	"Pinal County, AZ"	"04021"	"Jan., 2000"	"2000/01"	21	Not Applicable	Not Applicable	0.0%
	"Pinal County, AZ"	"04021"	"Feb., 2000"	"2000/02"	13	Not Applicable	Not Applicable	0.0%
	"Pinal County, AZ"	"04021"	"Mar., 2000"	"2000/03"	19	Not Applicable	Not Applicable	0.0%
	"Pinal County, AZ"	"04021"	"Apr., 2000"	"2000/04"	11	Not Applicable	Not Applicable	0.0%
	"Pinal County, AZ"	"04021"	"May, 2000"	"2000/05"	18	Not Applicable	Not Applicable	0.0%
	"Pinal County, AZ"	"04021"	"Jul., 2000"	"2000/07"	12	Not Applicable	Not Applicable	0.0%
	"Pinal County, AZ"	"04021"	"Sep., 2000"	"2000/09"	13	Not Applicable	Not Applicable	0.0%
	"Pinal County, AZ"	"04021"	"Oct., 2000"	"2000/10"	13	Not Applicable	Not Applicable	0.0%
	"Pinal County, AZ"	"04021"	"Nov., 2000"	"2000/11"	13	Not Applicable	Not Applicable	0.0%
	"Pinal County, AZ"	"04021"	"Dec., 2000"	"2000/12"	22	Not Applicable	Not Applicable	0.0%
	"Yavapai County, AZ"	"04025"	"Jan., 2000"	"2000/01"	33	Not Applicable	Not Applicable	0.0%
	"Yavapai County, AZ"	"04025"	"Feb., 2000"	"2000/02"	18	Not Applicable	Not Applicable	0.0%
